corpus_type,cause_topic,relation_type,effect_topic,frames,unique_documents,unique_sources,mean_frame_quality,mean_analysis_weight
policy,5,reduces_or_prevents,5,1,1,1,0.6956780538302277,0.0016617965998145749
policy,5,reduces_or_prevents,6,2,2,2,0.7967857142857143,0.003397978949760871
policy,5,reduces_or_prevents,7,1,1,1,0.8323809523809522,0.0005848215383155684
policy,5,reduces_or_prevents,8,2,2,2,0.7193428317169734,0.019698161071865415
policy,5,requires_or_depends_on,0,4,4,4,0.5871628787878788,0.0015812940106688662
policy,5,requires_or_depends_on,2,1,1,1,0.7746153846153846,0.002054776209950245
policy,5,requires_or_depends_on,3,1,1,1,0.5519579831932773,0.0012738213938137536
policy,5,requires_or_depends_on,5,5,3,3,0.6812879375621216,0.0038172192154106712
policy,5,requires_or_depends_on,6,3,2,2,0.7649665489384159,0.001440916263563098
policy,5,requires_or_depends_on,8,1,1,1,0.771016806722689,0.0015227488870936594
policy,5,risks_or_threatens,2,1,1,1,0.6070416666666666,0.00642850034898441
policy,5,risks_or_threatens,4,2,2,2,0.6382048345041811,0.008662191946019483
policy,5,risks_or_threatens,6,1,1,1,0.7201680672268906,0.0010702972038947871
policy,5,risks_or_threatens,7,2,2,2,0.8006050420168067,0.002390026356087908
policy,6,causes_or_increases,0,20,15,15,0.6882633038291103,0.004894495818068635
policy,6,causes_or_increases,1,15,7,7,0.7947386059955394,0.003545055454517113
policy,6,causes_or_increases,2,7,5,5,0.742245914457737,0.002722860125140601
policy,6,causes_or_increases,3,8,4,4,0.7142555573716901,0.004292830895502329
policy,6,causes_or_increases,4,9,7,7,0.7703124969171518,0.007634481587425708
policy,6,causes_or_increases,5,10,9,9,0.7190425667789462,0.006679564847011113
policy,6,causes_or_increases,6,62,25,25,0.7285852557712105,0.006051056343650777
policy,6,causes_or_increases,7,18,11,11,0.7317013810559734,0.002770844680568245
policy,6,causes_or_increases,8,12,9,9,0.7106605756066263,0.0019120642570565928
policy,6,enables_or_supports,0,11,9,9,0.6759526515470702,0.003076340330611259
policy,6,enables_or_supports,1,12,6,6,0.7429537012375618,0.002890825577671462
policy,6,enables_or_supports,2,7,6,6,0.7773986394557822,0.009640152343328837
policy,6,enables_or_supports,3,8,6,6,0.7154543284795802,0.002427996121193708
policy,6,enables_or_supports,4,14,9,9,0.696870159518616,0.0048358718756830845
policy,6,enables_or_supports,5,19,13,13,0.6387233861662633,0.007996833333667625
policy,6,enables_or_supports,6,49,18,18,0.6907402682829192,0.006108733002090723
policy,6,enables_or_supports,7,24,14,14,0.6168429998269703,0.004689711892408838
policy,6,enables_or_supports,8,17,7,7,0.6741407110501954,0.002113408464462502
policy,6,expected_to_improve,1,1,1,1,0.5147272727272726,0.003208106150314389
policy,6,expected_to_improve,3,2,2,2,0.6414761904761904,0.001240659383308522
policy,6,expected_to_improve,4,2,2,2,0.5667637362637362,0.004719614247202852
policy,6,expected_to_improve,5,4,3,3,0.6060455491071428,0.0024074876777074
policy,6,expected_to_improve,6,8,7,7,0.6036280547214413,0.0169533077821303
policy,6,expected_to_improve,7,4,3,3,0.6725915521978022,0.0022536755173280937
policy,6,expected_to_improve,8,3,3,3,0.7241888888888889,0.017994638403964123
policy,6,reduces_or_prevents,0,5,3,3,0.7224564935064934,0.009131477249151532
policy,6,reduces_or_prevents,1,1,1,1,0.87,0.0065773902314012495
policy,6,reduces_or_prevents,2,1,1,1,0.9210526315789473,0.0036111720312936484
policy,6,reduces_or_prevents,4,4,4,4,0.6808915278270117,0.007972796740441967
